duplicate_group_id,duplicate_class,n_rows,n_canonical_rows,group_representative_id,representative_is_canonical_member,n_identity_hashes,n_publications,n_entry_authors,n_log_D_finite,log_D_min,log_D_max,n_model_tier,log_D_spread,metal_states,duplicate_class_reason
DG000014,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16010,True,1,1,1,6,-2.25259,-2.25259,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG000023,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15953,True,1,1,1,6,-4.24413,-4.24413,1,0,La(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG000047,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15858,True,1,1,1,6,-3.57675,-3.57675,1,0,Dy(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG000116,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15780,True,1,1,1,6,0.447158,0.447158,1,0,Nd(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG000168,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15938,True,1,1,1,6,-2.10347,-2.10347,1,0,Yb(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG000362,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15900,True,1,1,1,6,-1.63451,-1.63451,1,0,Yb(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG000445,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15785,True,1,1,1,6,-1.35556,-1.35556,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG000456,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16002,True,1,1,1,6,-1.83268,-1.83268,1,0,Er(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG000473,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15970,True,1,1,1,6,-3.70774,-3.70774,1,0,Sm(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG000520,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15841,True,1,1,1,6,-4.9914,-4.9914,1,0,Sm(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG000567,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15899,True,1,1,1,6,-1.71897,-1.71897,1,0,Er(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG000579,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15868,True,1,1,1,6,-3.75203,-3.75203,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG000594,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:16030,True,1,1,1,6,-0.74958,-0.74958,1,0,Lu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG000614,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15798,True,1,1,1,6,-0.906578,-0.906578,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG000615,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15865,True,1,1,1,6,-4.46597,-4.46597,1,0,Pr(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG000651,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15973,True,1,1,1,6,-3.27984,-3.27984,1,0,Tb(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG000679,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15966,True,1,1,1,6,-4.33913,-4.33913,1,0,La(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG000684,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15977,True,1,1,1,6,-2.70115,-2.70115,1,0,Yb(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
DG000775,A_EXACT_DATABASE_DUPLICATE,6,1,SAE:15786,True,1,1,1,6,-1,-1,1,0,Eu(III),"identical conditions, identical value and identical provenance -- the archive stores the same record more than once"
