feature_name,scope,uses_target,available_pre_measurement,note
pos_acid,pool,False,True,rank percentile of the candidate on this axis within the pool
centrality_acid,pool,False,True,|percentile - 0.5|
z_acid,pool,False,True,standardised axis coordinate
boundary_acid,pool,False,True,"distance to the nearer end of the pool's range, in pool units"
pos_extractant,pool,False,True,rank percentile of the candidate on this axis within the pool
centrality_extractant,pool,False,True,|percentile - 0.5|
z_extractant,pool,False,True,standardised axis coordinate
boundary_extractant,pool,False,True,"distance to the nearer end of the pool's range, in pool units"
pos_lanthanide,pool,False,True,rank percentile of the candidate on this axis within the pool
centrality_lanthanide,pool,False,True,|percentile - 0.5|
z_lanthanide,pool,False,True,standardised axis coordinate
boundary_lanthanide,pool,False,True,"distance to the nearer end of the pool's range, in pool units"
pos_temperature,pool,False,True,rank percentile of the candidate on this axis within the pool
centrality_temperature,pool,False,True,|percentile - 0.5|
z_temperature,pool,False,True,standardised axis coordinate
boundary_temperature,pool,False,True,"distance to the nearer end of the pool's range, in pool units"
dist_medoid_l1,pool,False,True,"L1 cost to every pool point — gen8's MEDOID objective, in pool-standardised coordinates"
dist_medoid_rank,pool,False,True,
dist_centre_l2,pool,False,True,"Euclidean distance to the pool mean — gen8's CENTRAL objective, in pool-standardised coordinates"
dist_centre_rank,pool,False,True,
nn1_pool,pool,False,True,distance to the nearest other pool candidate
nn3_pool,pool,False,True,mean distance to the three nearest pool candidates
gp_design_var,pool,False,True,RBF leave-one-out design variance over the pool axes; gen8's best single signal
pred,candidate,False,True,the frozen model's prediction for this candidate
pred_pos,pool,False,True,rank percentile of the prediction within the pool
pred_centrality,pool,False,True,
pred_dev_from_median,pool,False,True,|pred - median(pred over pool)| — the MEDIAN_PREDICTION objective
pred_spread_pool,pool,False,True,IQR of the pool's predictions
pred_curve_slope,pool,False,True,slope of the model's own predictions along the candidate's curve
pred_curve_span,pool,False,True,range of the model's own predictions along the candidate's curve
pred_curve_pos,pool,False,True,"where on its own curve the candidate sits, 0..1"
pred_local_gradient,pool,False,True,finite-difference gradient of the prediction at the candidate along its curve
n_curves_through,pool,False,True,how many reconstructed curves the candidate lies on
n_pool_same_curve,pool,False,True,
n_pool,pool,False,True,
n_rows,pool,False,True,
log_n_pool,pool,False,True,
curve_is_acid,pool,False,True,curve type of the candidate's primary curve
curve_is_extractant,pool,False,True,curve type of the candidate's primary curve
curve_is_metal_series,pool,False,True,curve type of the candidate's primary curve
curve_is_temperature,pool,False,True,curve type of the candidate's primary curve
curve_is_contact_time,pool,False,True,curve type of the candidate's primary curve
curve_is_metal_concentration,pool,False,True,curve type of the candidate's primary curve
curve_is_none,pool,False,True,curve type of the candidate's primary curve
