divergence,family,aux_rows_affected,levels,detail,sensitivity_arm,source
tph_identity,COND/diluent,466,tph|total petroleum hydrocarbons|hydrogenated tetrapropene|hydrogenated tetrapropylene|tphkerosene,"TPH = tetrapropylene hydrogenated, a branched-C12 kerosene cut; 'total petroleum hydrocarbons' is an analytical parameter. The frozen one-hot keeps cond__diluent__tph, __total_petroleum_hydrocarbons, __hydrogenated_tetrapropene, __hydrogenated_tetrapropylene, __tphkerosene as five independent levels of what is largely one aliphatic diluent.",merge the five levels into one aliphatic-cut indicator,dataset_all_metals/scripts/sae_normalize.py
tph_identity_recovered,RECOVERED/solvent,317,tph|total petroleum hydrocarbons,"gen7.recovered maps 'tph' AND 'total petroleum hydrocarbons' to the same physical component, so the RECOVERED block already merges what the COND one-hot splits. The two blocks disagree with each other inside the frozen contract; both are reproduced as-is.",none needed for aux; recorded because it explains a COND/RECOVERED inconsistency a reader will otherwise take for a bug,dataset_all_metals/scripts/sae_normalize.py
iupac_locant_comma,COND/diluent + RECOVERED/solvent,136,"1,4-diisopropylbenzene|1,1,2,2-tetrachloroethane|1,2-dichloroethane","Blind splitting of a diluent string on ',' turns 1,4-diisopropylbenzene and 1,1,2,2-tetrachloroethane into fabricated mixtures whose first component is the literal '1' (296 rows archive-wide). This featurizer reads solvent_name_raw and never splits, so it is unaffected; the archive's solvent_primary / solvent_key carry the corrected split and are NOT used.",re-encode the diluent from the archive's adjudicated solvent_key,dataset_all_metals/scripts/sae_normalize.py
ch3cl_isomer,COND/diluent,156,CH3Cl|CHCl3|Chloroform,"'CH3Cl' is chloromethane by formula but chloroform in this corpus (one paper entered twice, one curator writing CH3Cl and the other Chloroform for the same experiments). The archive declines to merge them on a guess; the frozen COND one-hot therefore carries cond__diluent__ch3cl, __chcl3 and __chloroform as three levels of one liquid, while gen7.recovered's RECOVERED block merges all three into a single component. The two blocks disagree inside the frozen contract and both are reproduced as-is. NOTE also that the row-level cache runs/gen7_architecture/cache/recovered_raw.parquet predates the CH3Cl fix and still encodes it as dichloromethane; recovered_cells.parquet, which is what the cohort actually joins, does not. Measured in reproduction.json/recovered_cache_check.",collapse the three chloroform levels into one,dataset_all_metals/scripts/sae_normalize.py
ionic_radius_oxidation_state,METAL,15,U|Pu|Np|Am|Cm,"The frozen METAL block assigns one ionic radius per element symbol and ignores oxidation state (all bundle metals are Ln(III)). The archive resolves the radius per row from the oxidation state, which matters for U(VI) vs U(IV) and Pu(III/IV). This featurizer uses one radius per symbol to stay on the training encoding. MEASURED: only 15 auxiliary rows carry a per-row radius that differs from the pinned per-symbol value, so the encoding choice is nearly free here; 947 further rows have no per-row radius at all (unknown oxidation state) and are given the pinned value, which is what the frozen rows also receive.",per-row oxidation-state-resolved ionic_radius_cn8_A,dataset_all_metals/scripts/sae_normalize.py
unseen_diluent_level,COND/diluent,836,"EXXsol D60 x303|1-dodecanol x123|n-dodecane with 30 vol% 1-octanol x112|mesitylene x110|hyfrane x55|nphe x38|n-octane x14|kerosene with 50 vol% 1-octanol x10|n-dodecane with 40 vol% 1-octanol x8|n-dodecane with 50 vol% 1-octanol x8|n-dodecane with 60 vol% 1-octanol x8|n-dodecane with 80 vol% 1-octanol x8|hydrogenated tetrapropene with 25 vol% 1-octanol x6|kerosene with 5 vol% 1-octanol x6|tph 0.875, 1-octanol 0.125 x6|xylene x6|kerosene with 20 vol% 1-octanol x4|1-octanol with 30 vol% kerosene x4|2-nphe x2|1,1,2,2-tetrachloroethane x1","24 diluent values do not exist in the frozen one-hot vocabulary and are encoded as cond__diluent__other. The builder's own rule (CATEGORICAL_MAX_LEVELS=40 then OTHER) is applied; a level absent from a family with no 'other' column becomes an all-zero row, which is indistinguishable from 'not recorded'.",extend the vocabulary and refit the frozen arm (breaks the control),measured on the A_model_ready auxiliary rows
unseen_additive_level,COND/additive,19,ndecanol x14|NaNO3 x5,"2 additive values do not exist in the frozen one-hot vocabulary and are encoded as all-zero row. The builder's own rule (CATEGORICAL_MAX_LEVELS=40 then OTHER) is applied; a level absent from a family with no 'other' column becomes an all-zero row, which is indistinguishable from 'not recorded'.",extend the vocabulary and refit the frozen arm (breaks the control),measured on the A_model_ready auxiliary rows
unparsed_solvent_recovered,RECOVERED/solvent,474,EXXsol D60 x303|hyfrane x55|mesitylene x110|xylene x6,"gen7.recovered's component patterns do not cover these diluents, so all 15 rec__solvent_* columns are NaN and rec__solvent_parsed is 0. The patterns were written against the frozen corpus and are left untouched.",add the missing components to SOLVENT_COMPONENTS,measured on the A_model_ready auxiliary rows
metal_descriptor_table_fallback,METAL,5353,Am|Ba|Bi|Ca|Cd|Cf|Cm|Cr|Fe|Hf|In|Mo|Np|Pa|Pb|Pd|Pm|Pu|Ru|Sc|Sr|Tc|Th|U|Y|Zr,"The builder's LANTHANIDE_DESCRIPTORS table covers 14 lanthanides and nothing else — not Pm, not Y, no actinide. Under metal_policy='table_then_archive' those symbols take the archive's own atomic_number / lanthanide_index / ionic_radius_cn8_A, which reproduce the builder's table exactly on the 5,992 shared records, so the fallback is on the same scale. lanthanide_index is undefined for a non-lanthanide and stays NaN in 5352 rows; the radius stays NaN in 237 rows whose element has no CN8 Shannon radius in the archive.",metal_policy='table_only' (leaves the whole METAL block NaN off-Ln),measured on the A_model_ready auxiliary rows
geometry_annotation_ambiguity,MASSACTION,2211,"10 extractants carry >1 DENTATE; 12 (extractant, metal) cells carry >1 coreCN","DENTATE/coreCN are per-row geometry-plan outputs, not per-ligand constants. The mode is used for the lookup; the frozen rows where the mode differs from the row's own value are counted in reproduction.json under cell_level.MASSACTION.",run the builder's plan_complex for the new structures,measured on the frozen cohort
